BoxNumber,FolderNumber,Contents,Date
6,269,"Hartshorne, Charles Henry, 1802-1865. 3 ALS to T. J. Pettigrew",1860-61
6,270,"Haslam, John, 1764-1844. 3 ALS to T. J. Pettigrew",1831-33
6,271,ALS to T. J. Pettigrew,1845 Feb 25
6,272,ALS to C. R. Smith,1845 Jul 7
6,273,"Hawkins, Caesar Henry, 1798-1884. 3 ALS to T. J. Pettigrew",[1831 or later]
6,274,"Hawkins, Edward, 1780-1867. 4 ALS and 1 AL to T. J. Pettigrew",[1828]-53
6,275,"Hawkins, Francis, 1794-1877. 2 LS, 9 ALS, and 1 AL to T. J. Pettigrew",1835-52
6,276,"Hay, Robert, 1799-1863. 2 ALS to T. J. Pettigrew","1841, 1842"
6,277,"Heath, Dunbar Isidore, 1816-1888. 2 ALS to T. J. Pettigrew","1861, 1862"
6,278,"Heath, J. M. 6 ALS and 1 AL (draft) to T. J. Pettigrew",1817-38
6,279,"Heberden, William, 1767-1845. 2 ALS to T. J. Pettigrew",n.d.
6,280,"Henderson, Alexander, 1780-1863. 2 AL (3d person) to T. J. Pettigrew",[1825 or later]
6,281,"Heytesbury, William A'Court, 1st Baron, 1779-1860. ALS to T. J. Pettigrew",1855 Jul 10
6,282,"Hill, Sir Rowland, 1795-1879. ALS to T. J. Pettigrew",1855 Dec 21
6,283,"Hill, Thomas, 1760-1840. ALS to T. J. Pettigrew",1827 Mar 20
6,284,"Hincks, Edward, 1792-1866. 4 ALS to T. J. Pettigrew",1845 Jul-Aug
6,285,"Holland, Sir Henry, bart., 1788-1873. 7 ALS and 1 AL to T. J. Pettigrew",[1824-47]
6,286,"Hood, Sir Alexander Bateman Periam Fuller-Acland-Hood, bart., 1819-1892. AL to T. J. Pettigrew",1856 Jun 30
6,287,"Houghton, Richard Monckton Milnes, 1st Baron, 1809-1885. 6 ALS to T. J. Pettigrew",n.d.
6,288,"Hugo, Thomas, 1820-1876. 3 ALS to T. J. Pettigrew",1853 Mar
6,289,"Hume, Abraham, 1814-1884. 4 ALS to T. J. Pettigrew",1849-50
6,290,"Hunter, Joseph, 1783-1861. 2 ALS to T. J. Pettigrew","1841 May, Jun"
6,291,"Husenbeth, Frederick Charles, 1796-1872. 3 ALS to T. J. Pettigrew and 1 ALS to the Council of the B.A.A.",1846-57
6,292,"Huskisson, William, 1770-1830. AL to T. J. Pettigrew",1818 Jan 9
6,293,"Irving, George Vere, 1815-1869. 2 ALS to T. J. Pettigrew",1857 Jun
6,294,"Isaacson, Stephen, 1798-1849. 4 ALS to T. J. Pettigrew",1845-46
7,295,"Jackson, John, Bp. of London, 1811-1885. AL to T. J. Pettigrew",1854 Jun 5
7,296,"Jerden, William, 1782-1869. ALS to T. J. Pettigrew",1860 May 3
7,297,"Jewitt, Llewellyn Frederick William, 1816-1886. 2 ALS to T. J. Pettigrew",1849 Oct
7,298,"Johnson, James, 1777-1845. ALS to T. J. Pettigrew",1831 Mar 20
7,299,"Jones, Harry Longueville, 1806-1870. ALS to T. J. Pettigrew",1848 Jun 2
7,300,"Jones, Thomas, 1810-1875. ALS to T. J. Pettigrew",1861 Oct 22
7,301,"Jones, William Henry Rich, 1817-1885. 4 ALS to T. J. Pettigrew",1858 Jun-Jul
7,302,"Julien, [Marc Antoine?]. AL to T. J. Pettigrew",1833 Sep 2
7,303,"Just, John, 1797-1852. 4 ALS to T. J. Pettigrew",1850-51
7,304,"Kater, Henry, 1777-1835. ALS and AL to T. J. Pettigrew","1829, 1830"
7,305,"Kean, Charles John, 1811-1868. 1 ALS to James Robinson Planché (1796-1880)",1847 Sep 24
7,306,"Keate, Robert, 1777-1857. 2 ALS to T. J. Pettigrew",[1824]-40
7,307,"Kelly, Patrick, 1756-1842. ALS to T. J. Pettigrew",1830 Jan 30
7,308,"Kemble, Charles, 1775-1854. 1 ALS to T.J. Pettigrew.",n.d.
7,309,"Kempe, Alfred John, 1785?-1846. ALS to T. J. Pettigrew",1846 Apr 13
7,310,"Kerrison, Robert Masters, 8 ALS to T. J. Pettigrew",1829-40
7,311,"King, Richard, 1811?-1876. ALS to T. J. Pettigrew",n.d.
7,312,"King, Walker, Bp. of Rochester, 1732-1827. ALS to T. J. Pettigrew",[1815 or later]
7,313,"Kingdom, John. ALS to William Salisbury",[after 1831]
7,314,"Kinnaird, Douglas James William, 1788-1830. AL to T. J. Pettigrew",1823 May 19
7,315,"Knightley, Selina Mary (Hervey), Lady. AL to T. J. Pettigrew",1847 Apr 13
7,316,"Knox, Vicesimus, d. 1855. ALS to J. G. Children",1841 Jan 30
7,317,"Konig, Charles Dietrich Eberhard, 1774-1851. 5 ALS to T. J. Pettigrew",1827-[31]
7,318,2 ALS and 1 AL (in Italian) to Mr. Albano,[1837 or later]
7,319,LS to T. J. Pettigrew,1838 Aug 22
7,320,"Lamb, Lady Caroline (Ponsonby), 1785-1828. AL to T. J. Pettigrew",[1823 or later]
7,321,"Lamington, Alexander Dundas Ross Wishart Cochrane-Baillie, 1st Baron, 1816-1890. ALS to T. J. Pettigrew",1861 Apr 30
7,322,"Lane, Hunter, d. 1853. 2 ALS to T. J. Pettigrew","1840, 1842"
7,323,"Latham, John, 1761-1843. ASL to T. J. Pettigrew",1826 Feb 10
7,324,"Law, George Henry, Bp. of Bath and Wells, 1761-1845. 2 AL to T. J. Pettigrew",1827 May
7,325,"Lawrence, Sir William, 1783-1867. ALS to T. J. Pettigrew",1841 Nov 16
7,326,"Leach, William Elford, 1790-1836. AL to T. J. Pettigrew",1817 Nov 22
7,327,"Leake, William Martin, 1777-1860. 2 ALS to T.J. Pettigrew and 1 calling card.",[1849 or later]
7,328,"Lee, John, 1783-1866. 17 ALS and 1 AL to T. J. Pettigrew",1825-57
7,329,"Lee, John Edward, 1808-1887. 3 ALS to T. J. Pettigrew",1850-53
7,330,"Lee, Samuel, 1783-1852. 14 ALS to T. J. Pettigrew",1827-34
7,331,"Lee, Sarah (Wallis) Bowdich, 1791-1856. ALS and AL to T. J. Pettigrew","1830, 1834"
7,332,"Leemans, Conrad. 10 ALS to T. J. Pettigrew",1836-43
7,333,"Lemon, Robert, 1779-1835. 7 ALS and 1 AL to T. J. Pettigrew",1826-31
7,334,"Lemon, Robert, 1800-1867. 3 ALS and 2 AL to T. J. Pettigrew",1826-46
7,335,"Leslie, Charles Robert, 1794-1859. ALS to T. J. Pettigrew",1849 Jan 8
7,336,"Lete, Thomas. ALS to T. J. Pettigrew",1852 Jun 3
7,337,"Lewis, Frederick Christian, 1779-1856. AL to T. J. Pettigrew",n.d.
7,338,"Lewis, George Robert, 1782-1871. 2 ALS to T. J. Pettigrew","1840, 1851"
7,339,"Lewis, Griffith George, 1784-1859. AL to T. J. Pettigrew",1842 Apr 15
7,340,ALS to unnamed recipient,n.d.
7,341,ALS to Mr. Lindsay,n.d.
7,342,2 ALS to T. J. Pettigrew,[1832 or later]
7,343,"Liston, Robert, 1794-1847. 9 ALS to T. J. Pettigrew",1835-46
7,344,"Lloyd, W. ALS to T. J. Pettigrew",1817 Mar 13
7,345,"Loewe, Louis, 1809-1888. 7 ALS to T. J. Pettigrew",1837-46
7,346-347,"Londesborough, Albert Denison, 1st Baron, 1805-1860. 43 ALS to T. J. Pettigrew and 1 ALS fragment to unidentified [The V. Revd. Dean of ?]",[1843-49]
7,348,"Lonsdale, James, 1777-1839. ALS to T. J. Pettigrew",1823 Sep 2
7,349,"Lonsdale, John, Bp. of Lichfield, 1788-1867. 2 ALS to T. J. Pettigrew","1860 Jan, Jul"
7,350,"Lough, John Graham, 1806-1876. ALS to T. J. Pettigrew",[1840 or later]
7,351,ALS to T. J. Pettigrew,1845 Nov 18
7,352,3 ALS to J. R. Planché,1845-52
7,353,"Ludolf, comte de [Neopolitan Ambassador]. ALS and AL to T. J. Pettigrew","1830 Apr, Aug"
7,354,"Lynch, Christopher. 3 ALS to T. J. Pettigrew",1851-53
8,355,"Macdonald, Lawrence, 1799-1878. AL to T. J. Pettigrew",[1830 or later]
8,356,"McGrigor, Sir Charles Roderic, bart., b. 1811. 3 ALS to T. J. Pettigrew",[1859 or later]
8,357,"McGrigor, Sir James, bart., 1771-1858. 7 ALS, 1 LS, 1 AL to T. J. Pettigrew",1830-54
8,358,"Mackenzie, Robert Shelton, 1809-1880. ALS to T. J. Pettigrew",1844 Sep 19
8,359,"Mackinnon, William Alexander, 1789-1870. 7 ALS and 1 AL to T. J. Pettigrew",[1828-37]
8,360,"Maitland, Samuel Roffey, 1792-1866. ALS to T. J. Pettigrew",[1838-48]
8,361,"Maltby, Edward, Bp. of Durham, 1770-1859. 23 ALS to T. J. Pettigrew",[1842]-52
8,362,"Manby, George William, 1765-1854. 2 ALS to T. J. Pettigrew",1830 Aug 28
8,363,"Mandelsloh, count (Würtemberg Minister to Gr. Brit.). 1 ALS and 2 AL to T. J. Pettigrew",[1826]-35
8,364,"Mangles, James, 1786-1867. 5 ALS to T. J. Pettigrew.",1834-42
8,365,"Manvers, Charles Herbert Pierrepont, 2d Earl, 1778-1860. ALS to T. J. Pettigrew",1852 Jul 9
8,366,"Markland, James Heywood, 1788-1864. ALS to T. J. Pettigrew",1840 May 28
8,367,"Marrable, Frederick, 1818-1872. ALS to T. J. Pettigrew",1850 Feb 20
8,368,"Marsden, William, 1754-1836. ALS and 2 AL to T. J. Pettigrew",1833 Jun
8,369,"Marshall, William Calder, 1813-1894. 3 ALS to T. J. Pettigrew",1851-58
8,370,"Martin, Sir James Ranald, 1793-1874. 2 ALS to T. J. Pettigrew",n.d.
8,371,"Martin, Leopold Charles, 1817-1889. ALS to T. J. Pettigrew",1845 Jun 20
8,372,"Maton, William George, 1774-1835. ALS to T. J. Pettigrew",[1825 or later]
8,373,"Maugham, Robert, d. 1862. 3 ALS to T. J. Pettigrew",1824 Apr
8,374,"Mayer, Joseph, 1803-1886. 2 ALS to T. J. Pettigrew","1849, 1850"
8,375,"Mayo, Herbert, 1796-1852. 4 ALS to T. J. Pettigrew",[1837 or later]
8,376,"Melfort, George Drummond, 6th Duke of, 1807-1902. ALS to T. J. Pettigrew",1856 Jul 4
8,377,"Merivale, John Herman, 1779-1844. 5 ALS to T. J. Pettigrew",1836 Jul-Nov
8,378,"Merriman, Samuel, 1771-1852. 4 ALS to T. J. Pettigrew",1827-38
8,379,"Meyrick, Sir Samuel Rush, 1783-1848. 11 ALS to T. J. Pettigrew",1827-47
8,380,"Monk, James Henry, Bp. of Gloucester and Bristol, 1784-1856. ALS to C. R. Smith",1846 Apr 17
8,381,"Montfort, Henry Bromley, Lord, 3d Baron of Horseheath, 1773-1851. ALS to T. J. Pettigrew",1826 Sep 28
8,382,"Moodie, John. 8 ALS to T. J. Pettigrew",1816-17
8,383,"Moore, James Carrick, 1762-1860. 3 ALS and 1 AL to T. J. Pettigrew",1838-40
8,384,"2 ALS (in French), 2 LS to T. J. Pettigrew and 1 document, signed",1827-36
8,385,LS to the Duke of Sussex,1831 Feb 28
8,386,"Morgan, John Minter, 1782-1854. 3 ALS to T. J. Pettigrew",1830-33
8,387,"Morley, Edmund Parker, 2d Earl of, 1810-1864. ALS to T. J. Pettigrew",1861 Apr 30
9,388,"Mudge, William, 1762-1820. ALS to T. J. Pettigrew",1816 Jan 5
9,389,"Müller, William, d. 1846. 3 ALS to T. J. Pettigrew",1820-29
9,390,"Mulready, William, 1786-1863. ALS to T. J. Pettigrew",1849 Jan 8
9,391,"Munro, Hugh Andrew Johnstone, 1819-1885. ALS to T. J. Pettigrew",1849 Jan 17
9,392,"Munster, George Augustus Frederick Fitzclarence, 1st Earl of, 1794-1842. 4 ALS and 1 AL to T. J. Pettigrew",1823-31
9,393,"Murdoch, Thomas, b. 1757. 4 ALS and 1 AL to T. J. Pettigrew",1831-34
9,394,"Murray, John, 1808-1892. ALS to T. J. Pettigrew",n.d.
9,395,"Nares, Robert, 1753-1829. AL to T. J. Pettigrew",n.d.
9,396,"Nash, John, 1752-1835. 2 AL to T. J. Pettigrew","1828, 1829"
9,397,"Nayler, Sir George, 1764?-1831. 2 ALS and 1 LS to T. J. Pettigrew",1827-30
9,398,"Needham, Francis Henry, 1819-1902. ALS to T. J. Pettigrew",1846 Mar 31
9,399,"Newman, John, 1786-1859. ALS to T. J. Pettigrew",1834 Jun 24
9,400,"Nichols, John Bowyer, 1779-1863. 2 ALS to T. J. Pettigrew","1828, 1844"
9,401,"Nichols, John Gough, 1806-1873. 4 ALS to T. J. Pettigrew",n.d.
9,402,"Nicolas, [John] Toup, 1788-1851. ALS to Mr. Smyth",[1849?] Jun 16
9,403,"Nightingale, Margaret (Goostry). ALS to T. J. Pettigrew",1825 Jan 10
9,404,"Northampton, Spencer Joshua Alwyne, 2d Marquis of, 1790-1851. AL to T. J. Pettigrew",1848 Mar 28
9,405,"Northumberland, Algernon Percy, 4th Duke of, 1792-1865. 3 ALS to T. J. Pettigrew",1834-61
9,406,"Northwick, John Rushout, 2d Baron, 1811-1887. AL to T. J. Pettigrew",n.d.
9,407,Numismatic Society. LS (signed Henry Christmas) to C. R. Smith,1846 Feb 5
9,408,"Oldfield, John, 1789-1863. 6 ALS and 1 AL to T. J. Pettigrew",1837-38
9,409,"Ollivant, Alfred, Bp. of Llandaff, 1798-1882. 2 ALS and 1 AL to T. J. Pettigrew",1854 Jun-Sep
9,410,"Ord, John Walker, 1811-1853. 5 ALS to T. J. Pettigrew",[1835]-45
9,411,"Ouseley, Sir Gore, 1770-1884. 2 ALS and 1 AL to T. J. Pettigrew",1829-36
9,412,"Outram, Sir Benjamin Fonseca, 1774-1856. 4 ALS to T. J. Pettigrew",[1828]-38
9,413,"Ouvry, Frederic, 1814-1881. ALS to T. J. Pettigrew",1858 Feb
9,414,"Overstone, Samuel Jones Lloyd, 1st Baron, 1796-1883. ALS to T. J. Pettigrew",1850 Sep 17
9,415,"Papworth, Edgar George, 1809-1886. ALS (AL in different hand) to T. J. Pettigrew",1842 Aug 22
9,416,"Parke, Henry, 1792?-1835. ALS to T. J. Pettigrew",1835 Mar 14
9,417,"Patten, George, 1801-1865. ALS and AL to T. J. Pettigrew",1849 Apr
9,418,"Peacock, George, 1791-1858. 2 ALS to T. J. Pettigrew","1857 Jul, Aug"
9,419,"Peel, Sir Robert, bart., 1788-1850. AL to T. J. Pettigrew",n.d.
9,420,"Peile, Thomas Williamson, 1806-1882. ALS to T. J. Pettigrew",1853 Jan 15
9,421,"Penn, John, 1760-1834. ALS to T. J. Pettigrew",1811 May 9
9,422,"Pennethorne, Sir James, 1801-1871. AL to T. J. Pettigrew",1850 Jan 23
9,423,"Pepys, William Hasledine, 1775-1856. AL to T. J. Pettigrew",1832 May 3
9,424,"Pereira, Jonathan, 1804-1853. 2 ALS and 3 AL to T. J. Pettigrew",[1830]-38
9,425,"Petre, William Bernard Petre, 12th Baron, 1817-1884. ALS to T. J. Pettigrew",1861 Apr 25
9,426,ALS to the British Archaeological Association,1854 Nov 23
9,427,ALS to unnamed recipient,1856 Sep 4
9,428,"Pettigrew, William. ALS to T. J. Pettigrew",n.d.
9,429,"Philip, Alexander Philip Williamson, 1770?-1851?. 2 ALS to T. J. Pettigrew","1831, 1838"
9,430,"Phillipps, Sir Thomas, 1792-1872. 3 ALS to T. J. Pettigrew",1830-31
9,431,"Phillips, Thomas, 1770-1845. 4 ALS to T. J. Pettigrew",[1832]-37
9,432,"Phillpotts, Henry, Bp. of Exeter, 1778-1869. 2 ALS to T. J. Pettigrew","1832, 1861"
9,433,"Phipps, Sir Charles Beaumont, 1801-1866. 2 ALS to T. J. Pettigrew","1849, 1855"
9,434,"Pickersgill, Henry William, 1782-1875. 5 ALS and 3 AL to T. J. Pettigrew",1832-49
9,435,"Pidgeon, Henry Clark, 1807-1880. 2 ALS to T. J. Pettigrew","1849, 1850"
9,436,"Pitcairn, Robert, 1793-1855. ALS to T. J. Pettigrew",[1823 or later]
9,437,"Pitts, William, 1790-1840. 2 ALS and 1 AL to T. J. Pettigrew",1831 May
9,438,"Planché, James Robinson, 1796-1880. 11 ALS to T. J. Pettigrew",1830-58
9,439,"Poltimore, Augustus Frederick George Warwick Bampfylde, 2d Baron, 1837-1908. 2 ALS to T. J. Pettigrew",[1860 or later]
9,440,"Pomfret, George Fermor, 3d Earl of, 1768-1830. AL to T. J. Pettigrew",[1827 or later]
9,441,"Pond, John, 1767-1836. 6 ALS to T. J. Pettigrew",1831 Feb-Jul
9,442,"Poste, Beale, 1793-1871. 8 ALS to T. J. Pettigrew",1847-52
9,443,"Powis, Edward James Herbert, 3d Earl of, 1818-1891. ALS and AL to T. J. Pettigrew","1860 Jul, Oct"
9,444,"Poynder, John, 1779-1849. 3 ALS to T. J. Pettigrew",1847 Jul-Aug
9,445,"Prout, William, 1783-1852. ALS to T. J. Pettigrew",1838 Feb 24
9,446,"Purland, Theophilius. ALS to Thomas Wright",1846 Feb 2
10,447,"Radnor, Jacob Pleydell-Bouverie, 8th Earl of, 1815-1889. ALS to T. J. Pettigrew",1858 Jun 16
10,448,"Reeve, Lovell Augustus, 1814-1865. 3 ALS to T. J. Pettigrew",1852-53
10,449,"Rennie, Sir John, 1794-1874. 2 ALS to T. J. Pettigrew",[1834 or later]
10,450,"Renouard, George Cecil, 1780-1867. ALS and AL to T. J. Pettigrew","1824, 1836"
10,451,"Richards, George, 1767-1837. ALS to T. J. Pettigrew",1829 Feb 2
10,452,"Richardson, Charles James, 1806-1871. ALS to James R. Planché",n.d.
10,453,"Richardson, Moses Aaron, 1793-1871. ALS to T. J. Pettigrew",1847 Nov 26
10,454,"Riego, Miguel del. 8 ALS to T. J. Pettigrew and 1 ALS to the Duke of Sussex",[1823-28]
10,455,"Rifaud, J. J. 1 AL to T.J. Pettigrew and Prospectus, signed, for Voyage en Égypte, et en Nubie, 1827.",n.d.
10,456,"Rigby, Edward, 1804-1860. ALS to T. J. Pettigrew",n.d.
10,457,"Rimbault, Edward Francis, 1816-1876. 3 ALS to T. J. Pettigrew",1841 Apr-May
10,458,"Roberts, David, 1796-1864. 4 ALS to T. J. Pettigrew",1846-51
10,459,"Roberts, P[eter?], 1760?-1819. ALS to unidentified.",1797 Jul 25
10,460,"Robertson, Andrew, 1777-1845. 1 ALS and 3 AL to T. J. Pettigrew",1829-32
10,461,"Robinson, Peter Frederick, 1776-1858. 3 ALS to T. J. Pettigrew","1827, n.d."
10,462,"Roe, George Hamilton, 1795-1873. 2 ALS to T. J. Pettigrew",n.d.
10,463,"Rogers, William Harry, 1825-1873. 4 ALS to T. J. Pettigrew",1847-50
10,464,"Roget, Peter Mark, 1779-1869. 5 ALS to T. J. Pettigrew",1827-40
10,465,"Rokewode, John Gage, 1786-1842. 7 ALS to T. J. Pettigrew",1826-40
10,466,"Room, Henry, 1802-1850. AL to T. J. Pettigrew",n.d.
10,467,"Rowan, Sir Charles, 1782-1852. ALS and LS to T. J. Pettigrew","1830, 1833"
10,468,Royal Botanic Society. LS (signed James Sowerby) to T. J. Pettigrew,1849 Jun 11
10,469,Royal Society of London. LS (signed Davies Gilbert) to T. J. Pettigrew,1829 Nov 16
10,470,"Rudge, Edward, 1763-1846. 2 ALS to T. J. Pettigrew",1833
10,471,"Sabine, Sir Edward, 1788-1883. LS to T. J. Pettigrew",1828 Feb 11
10,472,"Sabine, Joseph, 1770-1837. 2 ALS to T. J. Pettigrew","1820, 1834"
10,473,"Sala, Henrietta Catherina Florentina (Simon), 1789-1860. 1 ALS to T.J. Pettigrew",[1828]
10,474,"Salisbury, William. ALS to T. J. Pettigrew",1832 Jun 10
10,475,"Sass, Henry, 1788-1844. 3 ALS to T. J. Pettigrew",[1826]-31
10,476,"Saull, William Devonshire, 1784-1855. ALS to T. J. Pettigrew",1852 Aug 9
10,477,"Saumarez, Richard, 1764-1835. 1 ALS to T.J. Pettigrew",[1815 or later]
10,478,"Sayer, Augustin, 1790-1861. 2 ALS to T. J. Pettigrew","[1828], 1833"
10,479,"Scott, John. 4 ALS to T. J. Pettigrew",[1832]-53
10,480,"Scudamore, Sir Charles, 1779-1849. ALS to T. J. Pettigrew",[1841 or later]
10,481,"Scudamore, Georgiana (Johnson), lady. 2 AL to T. J. Pettigrew",[1849]
10,482,"Sedgwick, Adam, 1785-1873. 3 ALS to T. J. Pettigrew",1840-[46]
10,483,"Seymour, Edward James, 1796-1866. AL to T. J. Pettigrew",n.d.
10,484,"Shakespear, John, 1774-1858. ALS to T. J. Pettigrew",1833 Jul 3
10,485,"Sharp, Sir Cuthbert, 1781-1849. ALS to T. J. Pettigrew",1845 Mar 28
10,486,"Sharp, William, 1805-1896. ALS to T. J. Pettigrew",1839 Nov 13
10,487,"Sharpe, Edmund, 1809-1877. 4 ALS and a fragment to T. J. Pettigrew",1850 Jul-Sep
10,488,"Shaw, Alexander, 1804-1890. 2 ALS and 1 AL to T. J. Pettigrew",1839 Feb
10,489,"Shee, Sir Martin Archer, 1769-1850. 3 ALS and 2 AL to T. J. Pettigrew",[1825]-31
10,490,"Sievier, Robert William, 1794-1865. ALS and AL to T. J. Pettigrew","1816, 1825"
10,491,"Skelton, Joseph, fl. 1820-1850. AL to T. J. Pettigrew",1845 Jun 18
10,492,"Sleath, John, 1767-1847. 4 ALS to T. J. Pettigrew",1828-31
10,493,"Smart, Benjamin Humphrey 1786?-1872. 3 ALS to T. J. Pettigrew",[1828]-50
10,494,"Smart, Sir George Thomas, 1776-1867. 5 ALS to T. J. Pettigrew",1825-47
10,495,"Smith, Charles John, 1803-1838. ALS to T. J. Pettigrew",1831 Jan 15
10,496,"Smith, Charles Roach, 1807-1890. 6 ALS to T. J. Pettigrew",1844-45
10,497,"Smith, Sir William Sidney, 1764-1840. 4 ALS to T.J. Pettigrew and 1 ALS to the Duke of Sussex",1830-37
10,498,"Smyth, William Henry, 1788-1865. 5 ALS to T. J. Pettigrew, 14 ALS to unidentified.",1844-52
11,499,"Soames, Henry, 1785-1860. 2 ALS to T. J. Pettigrew","1842 Apr, May"
11,500,ALS (in French) to M. Moreau,1819 May 20
11,501,ALS (in French) to T. J. Pettigrew,1819 Jul 21
11,502,Société des Antiquaries de Picardie. 3 ALS (signed J. Garnie) to President of the B.A.A. and 1 ALS to President of the British Assoc. of Conservation of Monuments,1850-51
11,503,"Solly, Edward, 1819-1866. 3 ALS to T. J. Pettigrew and 1 ALS to Charles Roach Smith",1845-51
11,504,"Somerset, Edward Adolphus Seymour, 11th Duke of, 1775-1855. 2 AL to T. J. Pettigrew","1830, 1833"
11,505,"Southey, Henry Herbert, 1783-1865. ALS to T. J. Pettigrew",n.d.
11,506,"Spence, William, 1783-1858. ALS and AL to T. J. Pettigrew","1847, 1848"
11,507,"Spencer, John Charles Spencer, 3d Earl, 1782-1845. ALS to T. J. Pettigrew",1822 Feb 27
11,508,"Spring-Rice, William Cecil, 1823-1880. ALS to T. J. Pettigrew",1850 Apr
11,509,"Spurgin, John, 1797-1866. 3 ALS to T. J. Pettigrew",[1829]-45
11,510,"Squier, Ephraim George, 1821-1888. 3 ALS to T.J. Pettigrew and 1 ALS to Charles Roach Smith",1849-52
11,511,"Stanfield, Clarkson, 1793-1867. ALS to T. J. Pettigrew",1846 Jun 3
11,512,"Stanley, Edward John Stanley, 2d Baron, 1802-1869. 2 AL to T. J. Pettigrew","1857 Jul, Oct"
11,513,"Stapleton, Thomas, 1805-1849. 5 ALS to T. J. Pettigrew",[1839]-45
11,514,"Streatfield, Thomas, 1777-1848. ALS to T. J. Pettigrew",1844 Sep 8
11,515,"Strutt, Jacob George, fl. 1820-1850. ALS to the Duke of Sussex",1823 Apr 21
11,516,"Stuart de Decies, Henry Villiers Stuart, 1st Baron, 1803-1874. AL to Mr. Stephenson",[1828 or later]
11,517,"Suckling, Alfred Inigo, 1796-1856. ALS to T. J. Pettigrew",1845 Mar 17
11,518,"Sykes, William Henry, 1790-1872. 3 ALS to T. J. Pettigrew",1839-52
11,519,"Symmons, Charles, 1749-1826. ALS to T. J. Pettigrew",1824 Jun 9
11,520,"Talman, J. J. ALS to T. J. Pettigrew",1817 Jan 16
11,521,"Tankerville, Charles Bennet, 6th Earl of, 1810-1899. 2 ALS to T. J. Pettigrew",[1832]-33
11,522,"Taylor, Edward, 1784-1863. 3 ALS to T. J. Pettigrew",1824-31
11,523,"Taylor, Sir Herbert, 1775-1839. 1 ALS to T. J. Pettigrew, 3 ALS to the Duke of Sussex, 1 ALS to Col. Fitzclarence.",1815-33
11,524,"Taylor, John, 1757-1832. 4 ALS to T. J. Pettigrew, with three poems",1826-31
11,525,"Taylor, Michael Angelo, 1757-1834. ALS to T. J. Pettigrew",1827 Nov 21
11,526,"Taylor, Thomas, 1758-1835. 3 ALS to T. J. Pettigrew",1834 Feb-May
11,527,"Thelwall, [John?], 1764-1834. AL to T. J. Pettigrew",1826 Mar 15
11,528,"Thomas, Honoratus Leigh, 1769-1846. 6 ALS and 1 AL to T. J. Pettigrew",[1823]-38
11,529,"Thompson, James, 1817-1877. ALS to T. J. Pettigrew",1850 Nov 30
11,530,"Thoms, William John, 1803-1885. 2 ALS to T. J. Pettigrew",1844 Feb
11,531,"Thomson, Anthony Todd, 1778-1849. 2 ALS to T. J. Pettigrew","1836, 1840"
11,532,"Thomson, William, ABp. of York, 1819-1890. 3 ALS to T. J. Pettigrew",1863-65
11,533,"Tite, Sir William, 1798-1873. ALS to T. J. Pettigrew",1840 Oct 6
11,534,"Tod, James, 1782-1835. ALS to T. J. Pettigrew",[n.d.]
11,535,"Todd, Henry John, 1763-1845. ALS to T. J. Pettigrew",[1825 or later]
11,536,"Tonna, Lewis Hippolytus Joseph, 1812-1857. 3 ALS to T. J. Pettigrew",1849 Jan-May
11,537,"Torrens, Robert. 5 ALS to T. J. Pettigrew",1824-25
11,538,"Townley, James, 1774-1833. ALS to T. J. Pettigrew",1828 Jul 12
11,539,"Toynbee, Joseph, 1815-1866. ALS to [T. J.] Pettigrew",[1841 or later]
11,540,"Traherne, John Montgomery, 1788-1860. ALS to T. J. Pettigrew",1846 Apr 22
11,541,"Travers, Benjamin, 1783-1858. 4 ALS and 2 AL to T. J. Pettigrew",1828 Mar
11,542,"Tupper, Martin Farquhar, 1810-1889. 6 ALS and 1 AL to T. J. Pettigrew",1829-54
11,543,"Turnbull, William. ALS to T. J. Pettigrew",n.d.
11,544,"Turner, Charles, 1774-1857. 2 ALS to T. J. Pettigrew","[1825], 1831"
11,545,"Turner, Dawson, 1755-1858. 22 ALS to T. J. Pettigrew",1840-52
11,546,"Turner, Sir Tomkyns Hilgrove, 1766?-1843. 2 ALS and 1 AL to T. J. Pettigrew",1838-41
11,547,"Tuthill, Sir George Leman, 1772-1835. ALS and AL to T. J. Pettigrew","1824, 1835"
11,548,"Tymms, Samuel, 1808-1871. ALS to T. J. Pettigrew",1850 Feb 2
11,549,"Tyrrell, Frederick, 1793-1843. 2 ALS to T. J. Pettigrew","[1828], 1834"
12,550,"Upham, Edward, 1776-1834. 3 ALS to T. J. Pettigrew",[1829 or later]
12,551,"Ure, Andrew, 1778-1857. ALS to T. J. Pettigrew",n.d.
12,552,"Uwins, David, 1780?-1837. AL to T. J. Pettigrew",n.d.
12,553,"Valpy, Richard, 1754-1836. 8 ALS to T. J. Pettigrew",1817-26
12,554,"Vigors, Nicholas Aylward, 1785-1840. ALS and AL to T. J. Pettigrew","1827, 1828"
12,555,"Vulliamy, Lewis, 1791-1871. 2 ALS and 1 AL to T. J. Pettigrew",n.d.
12,556,"Wadd, Thomas M. ALS to T. J. Pettigrew",n.d.
12,557,"Waddington, George, 1793-1869. 4 ALS to T. J. Pettigrew and 1 ALS to the Duke of Sussex",1841-52
12,558,"Wallich, Nathaniel, 1786-1854. 2 ALS and 1 AL to T. J. Pettigrew",1830-50
12,559,"Warburton, Henry, 1784?-1858. ALS to T. J. Pettigrew",1825 Mar 4
