BoxNumber,FolderNumber,Contents,Date
2,63,"Boston, George Ives Irby, 4th Baron, 1802-1869. 6 ALS to T. J. Pettigrew",[1857-62]
2,64,"Bowers, George Hull, 1794-1872. ALS to T. J. Pettigrew",1850 May
2,65,"Boyd, Sir William. 4 ALS to T. J. Pettigrew",1843-[54]
2,66,"Boyne, Gustavus Frederick John James Hamilton-Russell, 7th viscount, 1797-1872. 2 ALS to T. J. Pettigrew","1860, 1865"
2,67,"Brande, William Thomas, 1788-1866. 2 ALS to T. J. Pettigrew",[1806 or later]
2,68,"Braybrooke, Charles Cornwallis Neville, 5th Baron, 1823-1902. 2 AL to T. J. Pettigrew","1861, 1862"
2,69,"Braybrooke, Richard Cornwallis Neville, 4th Baron, 1820-1861. 4 ALS and 1 AL to T. J. Pettigrew",1859 Jul
2,70,"Braybrooke, Richard Griffin, 2d Baron, 1750-1825. ALS (fragment) to T. J. Pettigrew",1804 Mar 23
2,71,"Breadalbane, John Campbell, 2d Marquis of, 1796-1862. AL to T. J. Pettigrew",1833 May 24
2,72,"Bree, Robert, 1759-1839. ALS and AL to T. J. Pettigrew",1838 Apr
2,73,"Brenton, Edward Pelham, 1774-1839. ALS to T. J. Pettigrew",1838 Jan 26
2,74,"Bridgeman, George Thomas Orlando. 2 ALS to T. J. Pettigrew","1860 Oct, Dec"
2,75,"Briggs, John Joseph, 1819-1876. 2 ALS to T.J. Pettigrew","1841, 1860"
2,76,"Bright, Richard, 1789-1858. 7 ALS to T. J. Pettigrew",1832 Feb
2,77,"Brinckman, Charlotte (Godolphin), lady, d. 1838. AL to T. J. Pettigrew",n.d.
2,78,"Britton, John, 1771-1857. 4 ALS and 1 ALS fragment to T.J. Pettigrew",1846-56
2,79,"Brockett, John Trotter, 1788-1842. ALS to T. J. Pettigrew",1827 Mar 14
2,80,"Brodie, Sir Benjamin Collins, bart., 1783-1862. 14 ALS to T. J. Pettigrew",1824-[43]
2,81,"Brooke, Richard, 1791-1861. 3 ALS to T. J. Pettigrew",1852 May-Jun
2,82,"Brookes, Joshua, 1761-1833. 3 ALS and 2 AL to T. J. Pettigrew",1822-30
2,83,"Brougham, Henry Brougham, 1st Baron, 1778-1868. ALS and AL to T. J. Pettigrew",n.d.
2,84,"Brown, James, 1812-1881. AL to T. J. Pettigrew",1854 Jul 30
2,85,"Brownlow, Emma Sophia (Edgcumbe), Countess, 1791-1872. 2 AL to Dr. Sigmond and T. J. Pettigrew, and 1 AL to Pettigrew.",[1834 or later]
2,86,"Bruce, John Collingwood, 1805-1892. 2 ALS to T. J. Pettigrew","1850 Jun, Sep"
2,87,"Buckland, William, 1784-1856. 4 ALS to T. J. Pettigrew",1848-49
2,88,"Burges, George, 1786?-1864. ALS to T. J. Pettigrew",[before 1835]
2,89,"Burgon, Thomas, 1787-1858. 2 ALS to T. J. Pettigrew","1834, 1837"
2,90,"Burke, Sir John Bernard, 1814-1892. 5 ALS to T. J. Pettigrew",1853-58
2,91,"Burlington, Elizabeth (Compton) Cavendish, Countess of, 1760-1835. AL to T. J. Pettigrew",1830 Jan 21
2,92,"Burnett, Gilbert Thomas, 1800-1835. 2 ALS and 1 AL to T. J. Pettigrew",1831-35
2,93,"Burns, J. ALS to T. J. Pettigrew",n.d.
2,94,"Caley, John, d. 1834. 3 ALS to T. J. Pettigrew",1824-33
2,95,"Camden, George Charles Pratt, 2d Marquis of, 1799-1866. 3 ALS to T. J. Pettigrew",1853 Jan-Jun
2,96,"Carlisle, Sir Anthony, 1768-1840. 4 ALS to T. J. Pettigrew",1823-38
2,97,"Carlisle, Nicholas, 1771-1847. 16 ALS to T. J. Pettigrew",1825-46
2,98,"Carnarvon, Henry Howard Molyneux Herbert, 4th Earl of, 1831-1890. 10 ALS to T. J. Pettigrew",1859 Jul-Oct
2,99,"Carnwath, Robert Alexander Dalzell, 9th Earl of, 1768-1839. 2 ALS and 1 AL to T. J. Pettigrew",n.d.
2,100,"Carysfort, Elizabeth (Grenville) Proby, Countess of, 1756-1842. AL to T. J. Pettigrew",
2,101,"Carysfort, John Joshua Proby, 1st Earl of, 1751-1828. 7 ALS and 2 AL to [T. J. Pettigrew]",1800-18
2,102,"Cattermole, Richard, 1795-1858. 3 ALS to T. J. Pettigrew",1845-53
2,103,"Cavan, Frederick John William Lambart, 8th Earl of, 1815-1887. ALS to T. J. Pettigrew",1856 Jul 3
3,104,"Chalmers, Patrick, 1802-1854. ALS to T. J. Pettigrew",1850 Jun 9
3,105,"Chambers, William Frederick, 1786-1855. 2 ALS and 2 AL to T. J. Pettigrew",1818-38
3,106,"Champion de Crespigny, Sir Claude, bart., 1734-1818. AL to T. J. Pettigrew",1816 Oct 8
3,107,"Champion de Crespigny, Sir William, bart., 1765-1829. 1 ALS and 1 AL to T. J. Pettigrew","1823, 1824"
3,108,"Charma, Antoine, 1801-1869. 3 ALS (in French) to T. J. Pettigrew",1850-51
3,109,"Cherry, Henry Curtis. ALS to T. J. Pettigrew",1859 Aug 23
